Threshold,Discriminatory,Modifier,Pink,Magenta,Violet,Blue,Green,Yellow,PopBust?,Diversifying,Neurtal,Focusing,Equitable,Inequitable,Total,Average
1200,50,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,-1,0,0,0,0,97,0,TRUE,0,0,97,97,0,97,4
1200,50,-1,0,0,0,0,49,0,TRUE,0,0,49,49,0,49,4
1200,50,-1,43,0,0,0,48,0,TRUE,43,0,48,91,0,91,7.78021978
1200,50,-1,0,0,37,0,43,0,TRUE,0,37,43,80,0,80,5.85
1200,50,-1,0,0,0,0,0,78,FALSE,0,0,78,0,78,78,4
1200,50,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,-1,0,0,0,0,87,0,TRUE,0,0,87,87,0,87,4
0,70,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,-1,0,0,0,54,0,0,FALSE,0,54,0,0,54,54,8
0,70,-1,0,0,0,0,79,0,FALSE,0,0,79,79,0,79,4
0,70,-1,0,0,0,0,64,0,TRUE,0,0,64,64,0,64,4
0,70,-1,0,0,0,0,71,0,TRUE,0,0,71,71,0,71,4
0,70,-1,55,0,0,0,0,0,FALSE,55,0,0,55,0,55,12
0,70,-1,0,0,0,0,61,0,FALSE,0,0,61,61,0,61,4
0,70,-1,0,69,0,0,0,0,FALSE,69,0,0,0,69,69,12
0,70,-1,0,0,0,0,71,0,FALSE,0,0,71,71,0,71,4
0,70,-1,0,0,0,0,0,64,FALSE,0,0,64,0,64,64,4
0,70,-1,50,0,0,0,0,0,FALSE,50,0,0,50,0,50,12
0,70,-1,0,0,0,0,0,70,TRUE,0,0,70,0,70,70,4
0,70,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,-1,0,86,0,0,0,0,TRUE,86,0,0,0,86,86,12
0,70,-1,53,0,0,0,0,0,FALSE,53,0,0,53,0,53,12
0,70,-1,0,0,0,0,86,0,TRUE,0,0,86,86,0,86,4
0,70,-1,0,0,0,0,85,0,FALSE,0,0,85,85,0,85,4
0,70,-1,0,0,0,0,91,0,TRUE,0,0,91,91,0,91,4
0,70,-1,0,0,0,0,74,0,FALSE,0,0,74,74,0,74,4
0,70,-1,0,0,0,0,77,0,TRUE,0,0,77,77,0,77,4
1200,70,-1,0,0,10,0,59,0,FALSE,0,10,59,69,0,69,4.579710145
1200,70,-1,0,0,0,0,41,0,FALSE,0,0,41,41,0,41,4
1200,70,-1,0,0,0,0,64,0,FALSE,0,0,64,64,0,64,4
1200,70,-1,0,0,0,0,64,0,FALSE,0,0,64,64,0,64,4
1200,70,-1,0,0,74,0,0,0,FALSE,0,74,0,74,0,74,8
1200,70,-1,0,0,0,0,91,0,FALSE,0,0,91,91,0,91,4
1200,70,-1,0,0,0,0,60,0,FALSE,0,0,60,60,0,60,4
1200,70,-1,45,0,0,0,0,0,TRUE,45,0,0,45,0,45,12
1200,70,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,-1,0,0,0,0,65,0,FALSE,0,0,65,65,0,65,4
1200,70,-1,0,0,0,0,73,0,TRUE,0,0,73,73,0,73,4
1200,70,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,-1,0,16,29,0,0,0,TRUE,16,29,0,29,16,45,9.422222222
1200,70,-1,0,15,0,0,0,48,TRUE,15,0,48,0,63,63,5.904761905
1200,70,-1,0,0,87,0,0,0,TRUE,0,87,0,87,0,87,8
1200,70,-1,29,0,0,0,0,0,FALSE,29,0,0,29,0,29,12
1200,70,-1,24,0,0,0,0,0,FALSE,24,0,0,24,0,24,12
1200,70,-1,0,0,0,0,0,78,FALSE,0,0,78,0,78,78,4
1200,70,-1,0,0,0,0,65,0,FALSE,0,0,65,65,0,65,4
1200,70,-1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,30,0,22,0,0,0,22,0,FALSE,22,0,22,44,0,44,8
0,30,0,0,0,55,0,0,0,FALSE,0,55,0,55,0,55,8
0,30,0,0,0,50,0,0,0,FALSE,0,50,0,50,0,50,8
0,30,0,0,0,55,0,0,0,FALSE,0,55,0,55,0,55,8
0,30,0,0,0,23,0,28,0,FALSE,0,23,28,51,0,51,5.803921569
0,30,0,51,0,0,0,0,0,FALSE,51,0,0,51,0,51,12
0,30,0,0,0,53,0,0,0,FALSE,0,53,0,53,0,53,8
0,30,0,0,0,58,0,0,0,FALSE,0,58,0,58,0,58,8
0,30,0,0,0,53,0,0,0,FALSE,0,53,0,53,0,53,8
0,30,0,35,0,0,0,24,0,FALSE,35,0,24,59,0,59,8.745762712
0,30,0,27,0,0,0,24,0,FALSE,27,0,24,51,0,51,8.235294118
0,30,0,0,0,45,0,0,0,FALSE,0,45,0,45,0,45,8
0,30,0,0,0,46,0,0,0,FALSE,0,46,0,46,0,46,8
0,30,0,23,0,18,0,0,0,FALSE,23,18,0,41,0,41,10.24390244
0,30,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,30,0,0,0,41,0,7,0,FALSE,0,41,7,48,0,48,7.416666667
0,30,0,11,0,27,0,0,0,FALSE,11,27,0,38,0,38,9.157894737
0,30,0,0,0,44,0,0,0,FALSE,0,44,0,44,0,44,8
0,30,0,0,0,58,0,0,0,FALSE,0,58,0,58,0,58,8
0,30,0,0,0,49,0,0,0,FALSE,0,49,0,49,0,49,8
1200,30,0,0,0,54,0,0,0,FALSE,0,54,0,54,0,54,8
1200,30,0,0,0,50,0,0,0,FALSE,0,50,0,50,0,50,8
1200,30,0,0,0,56,0,0,0,FALSE,0,56,0,56,0,56,8
1200,30,0,0,0,48,0,0,0,FALSE,0,48,0,48,0,48,8
1200,30,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,30,0,0,0,57,0,0,0,FALSE,0,57,0,57,0,57,8
1200,30,0,0,0,42,0,0,0,FALSE,0,42,0,42,0,42,8
