SocialInheritance1,SocialInheritance2,GroupSize,Foraging,Predation,Threshold,Discriminatory,Prob,Pink,Magenta,Violet,Blue,Green,Yellow,PopBust?,Rate,Stability,Diversifying,Neurtal,Focusing,Equitable,Inequitable,Total,Average,Test
FALSE,FALSE,6,0.93,0.0003,0,30,0.0037,0,0,0,0,0,0,FALSE,0.032931059,0.963099038,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0037,0,0,0,0,0,0,FALSE,0.056216766,0.932263139,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0038,5,0,32,0,0,0,FALSE,0.058294228,0.931634615,5,32,0,37,0,37,8.540540541,1.864864865
FALSE,FALSE,6,0.93,0.0003,0,30,0.0038,0,0,0,0,0,0,FALSE,0.038030008,0.947161011,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0039,0,0,0,0,0,0,FALSE,0.007284938,0.965287494,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0039,0,0,0,0,0,0,FALSE,0.026600082,0.930769667,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.004,0,0,0,0,0,0,FALSE,0.008510798,0.907759015,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.004,0,0,38,0,0,0,FALSE,0.060692443,0.934711579,0,38,0,38,0,38,8,2
FALSE,FALSE,6,0.93,0.0003,0,30,0.0041,0,0,0,0,0,0,FALSE,0.055741249,0.921781546,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0041,0,0,27,0,0,0,FALSE,0.044493088,0.952530422,0,27,0,27,0,27,8,2
FALSE,FALSE,6,0.93,0.0003,0,30,0.0042,0,0,0,0,0,0,FALSE,0.020163299,0.942308872,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0042,0,0,0,0,0,0,FALSE,0.004950972,0.952542817,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0043,0,0,59,0,0,0,FALSE,0.046393066,0.945035911,0,59,0,59,0,59,8,2
FALSE,FALSE,6,0.93,0.0003,0,30,0.0043,9,0,44,0,0,0,FALSE,0.046568882,0.944316478,9,44,0,53,0,53,8.679245283,1.830188679
FALSE,FALSE,6,0.93,0.0003,0,30,0.0044,0,0,0,0,0,0,FALSE,0.031651066,0.953378975,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0044,0,0,50,0,0,0,FALSE,0.062676408,0.928202534,0,50,0,50,0,50,8,2
FALSE,FALSE,6,0.93,0.0003,0,30,0.0045,0,0,0,0,0,0,FALSE,0.031297029,0.859832472,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0045,0,0,0,0,0,0,FALSE,0.021202087,0.947896273,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0046,0,0,0,0,0,0,FALSE,0.046828887,0.925945652,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0046,0,0,0,0,0,0,FALSE,0.009087981,0.934508367,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0047,0,0,0,0,0,0,FALSE,0.005644141,0.915580246,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0047,0,0,49,0,0,0,FALSE,0.053553789,0.941814471,0,49,0,49,0,49,8,2
FALSE,FALSE,6,0.93,0.0003,0,30,0.0048,0,0,0,0,0,0,FALSE,0.051874039,0.943699826,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0048,0,0,0,0,0,0,FALSE,0.052803753,0.92806913,0,0,0,0,0,0,NA,NA
