day,Diversifying3,Focusing1,Diversifying2,Focusing2,Diversifying1,Focusing3,total
197,6,8,7,8,6,6,41
198,6,8,7,8,6,6,41
199,6,8,7,8,6,6,41
200,6,8,7,8,6,6,41
201,6,8,7,8,6,6,41
202,6,8,7,8,6,6,41
203,6,8,7,8,6,6,41
204,6,8,7,8,6,6,41
205,6,8,7,8,6,6,41
206,6,8,7,8,6,6,41
207,6,8,7,8,6,6,41
208,6,8,7,8,6,6,41
209,6,8,7,8,6,6,41
210,6,8,7,8,6,6,41
211,6,8,7,8,6,6,41
212,6,8,7,8,6,6,41
213,6,8,7,8,6,6,41
214,6,8,7,8,6,6,41
215,6,8,7,8,6,6,41
216,6,8,7,8,6,6,41
217,6,8,7,8,6,6,41
218,6,8,7,8,6,6,41
219,6,8,7,8,6,6,41
220,6,8,7,8,6,6,41
221,6,8,7,8,6,6,41
222,6,8,7,8,6,6,41
223,6,8,7,8,6,6,41
224,6,8,7,8,6,6,41
225,6,8,7,8,6,6,41
226,6,8,7,8,6,6,41
227,6,8,7,8,6,6,41
228,6,8,7,8,6,6,41
229,6,8,7,8,6,6,41
230,6,8,7,8,6,6,41
231,6,8,7,8,6,6,41
232,6,8,7,8,6,6,41
233,6,8,7,8,6,6,41
234,6,8,7,8,6,6,41
235,6,8,7,8,6,6,41
236,6,8,7,8,6,6,41
237,6,8,7,8,6,6,41
238,6,8,7,8,7,6,42
239,6,8,7,8,7,6,42
240,6,8,7,8,7,6,42
241,6,8,7,8,7,6,42
242,6,8,7,8,7,6,42
243,6,8,7,8,7,6,42
244,6,8,7,8,7,6,42
245,6,8,7,8,7,6,42
246,6,8,7,8,7,6,42
247,6,8,7,8,7,6,42
248,6,8,7,8,7,6,42
249,6,8,7,8,7,6,42
250,6,8,7,8,8,6,43
251,6,8,7,8,8,6,43
252,5,8,7,8,8,6,42
253,5,8,7,8,8,6,42
254,5,8,7,8,8,6,42
255,5,8,7,8,8,6,42
256,5,8,7,8,8,6,42
257,5,8,7,8,8,6,42
258,5,8,7,8,8,6,42
259,5,8,7,8,8,6,42
260,5,8,7,8,8,6,42
261,5,8,7,8,8,6,42
262,5,8,7,8,8,6,42
263,5,8,7,8,8,6,42
264,5,8,7,8,8,6,42
265,5,8,7,8,8,6,42
266,5,8,7,8,8,6,42
267,5,8,7,8,8,6,42
268,5,8,7,8,8,5,41
269,5,8,7,8,8,5,41
270,5,8,7,8,8,5,41
271,5,8,7,8,8,5,41
272,5,8,7,8,8,5,41
273,5,8,7,8,8,5,41
274,5,8,7,8,8,5,41
275,4,8,7,8,8,5,40
276,5,8,7,8,8,5,41
277,5,8,7,8,8,5,41
278,5,8,7,8,8,5,41
279,5,8,7,7,8,5,40
280,5,8,7,7,8,5,40
281,5,8,7,7,8,5,40
282,5,8,7,7,8,5,40
283,5,8,7,7,8,5,40
284,5,8,7,7,8,6,41
285,5,8,7,7,8,6,41
286,5,8,7,7,8,6,41
287,5,8,7,7,8,5,40
288,5,8,7,7,8,5,40
289,5,8,7,7,8,5,40
290,5,8,7,7,7,5,39
291,5,8,7,7,7,5,39
292,5,8,7,7,7,5,39
293,5,8,7,7,7,5,39
294,5,8,7,7,7,5,39
295,5,8,7,7,7,5,39
296,5,8,7,7,7,5,39
297,5,8,7,7,7,5,39
298,5,8,7,7,7,5,39
299,6,8,7,7,7,5,40
300,6,8,7,7,7,5,40
301,6,8,7,7,7,5,40
302,6,8,7,7,7,5,40
303,6,8,7,6,7,5,39
304,6,8,7,6,7,5,39
305,6,8,7,6,7,6,40
306,6,8,7,6,7,6,40
307,6,7,7,6,7,6,39
308,6,7,7,6,7,6,39
309,6,7,7,6,7,6,39
310,6,7,7,6,7,6,39
311,6,7,7,6,7,6,39
312,6,7,7,6,7,6,39
313,6,7,7,6,7,6,39
314,6,7,7,6,7,6,39
315,6,7,7,6,7,6,39
316,6,7,7,6,7,6,39
317,6,7,7,6,7,6,39
318,6,7,7,6,7,6,39
319,6,7,7,6,7,6,39
320,6,7,8,6,7,6,40
321,6,7,8,6,7,6,40
322,6,7,8,6,7,6,40
323,6,7,8,6,7,6,40
324,6,7,8,6,7,6,40
325,6,7,7,5,7,6,38
326,6,7,7,5,7,6,38
327,6,7,7,5,7,6,38
328,6,6,7,5,7,6,37
329,6,6,7,5,7,6,37
330,6,6,7,5,7,6,37
331,6,6,7,5,7,6,37
332,6,6,7,5,7,6,37
333,6,6,7,5,7,6,37
334,6,6,7,5,7,6,37
335,6,6,7,5,7,6,37
336,6,6,7,5,7,6,37
337,6,6,7,5,7,6,37
338,6,6,7,5,7,6,37
339,6,6,7,5,7,6,37
340,6,6,7,5,7,6,37
341,6,6,7,5,7,6,37
342,6,6,7,5,7,6,37
343,6,6,7,5,7,6,37
344,6,6,7,5,7,6,37
345,6,6,7,5,7,6,37
346,6,6,7,5,7,6,37
347,6,6,7,5,7,6,37
348,6,6,7,5,7,5,36
349,6,6,7,5,7,5,36
350,6,6,7,5,7,5,36
351,6,6,7,5,7,5,36
352,6,6,7,5,7,5,36
353,6,6,7,5,7,5,36
354,6,6,7,5,7,5,36
355,6,6,7,5,7,5,36
356,6,6,7,5,7,5,36
357,6,6,7,5,7,5,36
358,6,6,7,5,7,5,36
359,6,6,7,5,7,5,36
360,6,6,7,5,7,5,36
361,5,6,7,5,7,5,35
362,5,6,7,5,7,5,35
363,5,6,7,5,7,5,35
364,5,6,7,5,7,5,35
365,5,6,7,5,7,5,35
366,5,6,7,5,7,5,35
367,5,6,7,5,7,5,35
368,5,6,7,5,7,5,35
369,5,6,7,5,7,5,35
370,5,6,7,6,7,5,36
371,5,6,7,6,7,5,36
372,5,6,7,6,7,5,36
373,5,6,7,6,7,5,36
374,5,6,7,6,7,5,36
375,5,6,8,6,7,5,37
376,5,6,8,6,7,5,37
377,5,6,8,6,7,5,37
378,5,6,8,6,7,5,37
379,5,6,8,6,7,5,37
380,5,6,8,6,7,5,37
381,5,6,8,6,7,5,37
382,5,6,8,6,7,5,37
383,5,6,8,6,7,5,37
384,5,6,8,6,7,5,37
385,5,6,8,6,7,5,37
386,5,6,8,6,7,5,37
387,5,6,8,6,7,5,37
388,5,6,8,6,7,5,37
389,5,6,8,6,7,5,37
390,5,6,8,6,7,5,37
391,5,6,8,6,7,5,37
392,5,6,8,6,7,5,37
393,5,6,8,6,7,5,37
394,5,6,8,6,7,5,37
395,5,6,8,6,7,5,37
396,6,6,8,6,7,5,38
397,6,6,8,6,7,5,38
398,6,6,8,6,7,5,38
399,6,6,8,6,7,5,38
400,6,6,8,6,7,5,38
401,6,6,8,6,7,5,38
402,6,6,8,6,7,5,38
403,6,6,8,6,7,5,38
404,6,6,8,6,7,5,38
405,6,6,8,6,7,5,38
406,6,6,8,6,7,5,38
407,6,6,8,6,7,5,38
408,6,6,8,6,7,5,38
409,6,6,8,6,7,5,38
410,6,6,8,6,7,5,38
411,6,6,8,6,7,5,38
412,6,6,8,6,7,5,38
413,6,6,8,6,7,5,38
414,6,6,8,6,7,5,38
415,6,6,8,6,7,5,38
416,6,6,8,6,8,5,39
417,6,6,8,6,8,5,39
418,6,6,8,6,8,5,39
419,6,6,8,6,8,5,39
420,6,6,8,6,8,5,39
421,6,6,8,6,8,5,39
422,6,6,8,6,8,5,39
423,6,6,8,6,8,5,39
424,6,6,8,6,8,5,39
425,6,6,8,6,8,5,39
426,6,7,8,6,8,5,40
427,6,7,8,6,8,5,40
428,6,7,8,6,8,5,40
429,6,7,8,6,8,5,40
430,6,7,8,6,8,5,40
431,6,7,8,6,8,5,40
432,6,7,9,6,7,5,40
433,6,7,9,6,7,5,40
434,6,7,9,6,7,5,40
435,6,7,9,6,7,5,40
436,6,7,9,6,7,5,40
437,6,7,10,6,7,5,41
438,6,7,10,6,7,5,41
439,6,7,10,6,7,5,41
440,6,6,10,6,7,5,40
441,6,6,10,6,7,5,40
442,6,6,10,6,7,5,40
443,6,6,10,6,7,5,40
444,6,6,10,6,7,5,40
445,7,6,10,6,6,5,40
446,7,6,10,6,6,5,40
447,7,6,10,6,6,5,40
448,7,6,10,6,6,5,40
449,7,7,10,6,6,5,41
450,7,7,10,6,6,5,41
451,7,7,10,6,6,5,41
452,7,7,10,6,6,5,41
453,7,7,10,6,6,5,41
454,7,7,10,6,6,5,41
455,7,7,10,6,6,5,41
456,7,7,10,6,6,6,42
457,7,7,10,6,6,6,42
458,7,7,10,6,6,6,42
459,7,7,10,6,6,6,42
460,7,7,10,6,6,6,42
461,7,7,10,6,6,6,42
462,7,7,10,7,6,6,43
463,7,7,10,7,6,6,43
464,7,7,10,7,6,6,43
465,7,7,10,7,6,6,43
466,7,7,10,7,6,6,43
467,7,7,10,7,6,6,43
468,7,6,10,7,6,6,42
469,7,6,10,7,6,6,42
470,7,6,10,7,6,6,42
471,7,6,10,7,6,6,42
472,7,6,10,7,6,6,42
473,7,6,10,7,6,6,42
474,7,6,10,7,6,6,42
475,7,7,10,6,6,6,42
476,7,7,10,6,6,6,42
477,7,7,10,6,6,6,42
478,7,7,10,6,6,6,42
479,7,7,10,6,6,6,42
480,7,7,10,7,6,6,43
481,7,7,10,7,6,6,43
482,7,7,10,7,6,6,43
483,7,7,10,7,6,6,43
484,7,7,10,7,6,6,43
485,7,7,10,7,6,6,43
486,7,7,10,7,6,6,43
487,7,7,10,7,6,6,43
488,7,7,10,7,6,6,43
489,7,7,10,7,6,6,43
490,7,7,10,7,6,6,43
491,7,7,10,7,6,6,43
492,7,7,10,7,6,6,43
493,7,7,10,7,6,6,43
494,7,7,10,7,6,6,43
495,7,7,10,7,6,6,43
496,7,7,10,7,6,6,43
497,7,7,10,7,7,6,44
498,7,7,10,7,7,6,44
499,7,7,10,7,7,6,44
500,7,7,10,7,7,6,44
501,7,6,10,7,7,6,43
502,7,6,10,7,7,6,43
503,7,6,10,7,7,6,43
504,7,6,10,7,7,6,43
505,7,6,10,7,7,6,43
506,7,6,10,7,7,6,43
507,7,6,10,7,6,6,42
508,7,6,10,7,6,6,42
509,7,6,10,7,6,6,42
510,7,6,10,7,6,6,42
511,7,6,10,7,6,6,42
512,7,6,10,7,6,6,42
513,7,6,10,7,6,6,42
514,7,6,10,7,6,6,42
515,7,6,10,7,6,6,42
516,7,6,10,7,6,6,42
517,7,6,10,7,6,6,42
518,7,6,10,7,6,6,42
519,7,6,10,7,6,6,42
520,7,6,10,7,6,6,42
521,7,6,10,7,6,6,42
522,7,6,10,7,6,6,42
523,7,6,10,7,6,6,42
524,7,6,10,7,6,6,42
525,7,6,10,7,6,6,42
526,7,6,10,7,6,6,42
527,7,6,10,7,6,6,42
528,7,6,10,7,6,6,42
529,7,6,10,7,6,6,42
530,7,6,10,7,6,6,42
531,7,6,10,7,6,6,42
532,7,6,10,7,6,6,42
533,7,6,10,7,6,6,42
534,7,6,10,7,6,6,42
535,7,6,10,7,6,6,42
536,7,6,10,7,6,6,42
537,7,6,10,7,6,6,42
538,7,6,10,7,7,6,43
539,7,6,10,7,7,6,43
540,7,6,10,7,7,6,43
541,7,6,10,7,7,6,43
542,7,6,10,7,7,6,43
543,7,6,10,7,7,6,43
544,7,6,10,7,7,6,43
545,7,6,10,7,7,6,43
546,7,6,10,7,7,6,43
547,7,6,10,7,7,6,43
548,7,6,10,7,7,6,43
549,7,6,10,7,7,6,43
550,7,6,9,7,8,6,43
551,7,6,9,7,8,6,43
552,7,6,9,7,8,6,43
553,7,6,9,7,8,6,43
554,7,6,9,7,8,6,43
555,7,6,9,7,8,6,43
556,7,6,9,7,8,6,43
557,7,6,9,7,8,6,43
558,7,6,9,7,8,6,43
559,7,6,9,7,8,6,43
560,7,6,9,7,8,6,43
561,7,6,9,7,8,6,43
562,7,6,9,7,8,6,43
563,7,6,9,7,8,6,43
564,7,6,9,7,8,6,43
565,7,6,9,7,8,6,43
566,7,6,9,7,8,6,43
567,7,6,9,7,8,6,43
568,7,6,9,7,8,6,43
569,7,6,9,7,8,6,43
570,7,6,9,7,8,6,43
571,7,6,9,7,8,6,43
572,7,6,9,7,8,6,43
573,7,6,9,7,8,6,43
574,7,6,9,7,8,6,43
575,7,6,9,7,8,6,43
576,8,6,9,7,8,6,44
577,8,6,9,7,7,6,43
578,8,6,9,7,7,6,43
579,8,6,9,7,7,6,43
580,8,6,9,7,7,6,43
581,8,6,9,7,7,6,43
582,8,6,9,7,7,6,43
583,8,6,9,7,7,6,43
584,8,6,9,7,7,7,44
585,8,6,9,7,7,7,44
586,8,6,9,7,7,7,44
587,8,6,9,7,7,7,44
588,8,6,9,7,7,7,44
589,8,6,9,7,7,7,44
590,8,6,9,7,7,7,44
591,8,6,9,7,7,7,44
592,8,6,9,7,7,7,44
593,8,6,9,7,7,7,44
594,8,6,9,7,7,7,44
595,8,6,9,7,7,7,44
596,8,6,9,7,7,7,44
597,7,6,9,7,7,7,43
598,7,6,9,7,7,7,43
599,7,6,9,7,7,7,43
600,7,6,9,7,7,7,43
601,7,6,9,7,7,7,43
602,7,6,9,7,7,7,43
603,7,6,9,7,7,7,43
604,7,6,9,7,7,7,43
605,7,6,9,7,7,8,44
606,7,6,9,6,7,8,43
607,7,6,9,6,7,8,43
608,7,6,9,6,7,8,43
609,7,6,9,6,7,8,43
610,7,6,9,6,7,8,43
611,7,6,9,6,7,7,42
612,7,6,9,6,7,7,42
613,7,6,9,6,7,7,42
614,7,6,9,6,7,7,42
615,7,6,9,6,7,7,42
616,7,6,9,6,7,7,42
617,7,6,9,6,7,7,42
618,7,6,9,6,7,7,42
619,7,6,9,6,7,7,42
620,7,6,10,6,7,7,43
621,7,6,10,6,7,6,42
622,7,6,10,6,7,6,42
623,7,6,10,6,7,6,42
624,7,6,10,6,7,6,42
625,7,6,10,6,7,6,42
626,7,6,10,6,7,6,42
627,7,6,10,6,7,6,42
628,7,6,10,6,7,6,42
629,7,6,10,6,7,6,42
630,7,6,10,6,7,6,42
631,7,6,10,6,7,6,42
632,7,6,10,6,7,6,42
633,7,6,10,6,7,6,42
634,7,6,10,6,7,6,42
635,7,6,10,6,7,6,42
636,7,6,10,6,7,6,42
637,7,6,10,6,7,6,42
638,7,6,10,6,7,6,42
639,7,6,10,6,7,6,42
640,7,6,10,6,7,6,42
641,7,6,10,6,7,6,42
642,7,6,10,6,7,6,42
643,7,6,10,6,7,6,42
644,7,6,10,6,7,6,42
645,7,6,10,6,7,6,42
646,7,6,10,6,7,6,42
647,7,6,10,6,7,6,42
648,7,6,10,6,7,6,42
649,7,6,10,6,7,6,42
650,7,6,10,6,7,6,42
651,7,6,10,6,7,6,42
652,7,6,10,6,7,6,42
653,6,6,10,6,7,6,41
654,6,6,10,6,7,6,41
655,6,6,10,6,7,6,41
656,6,6,10,6,7,6,41
657,6,6,10,6,7,6,41
658,6,6,10,6,7,6,41
659,6,6,10,6,7,6,41
660,6,6,10,6,7,6,41
661,6,6,10,6,7,6,41
662,6,6,10,6,7,6,41
663,6,6,10,6,7,6,41
664,6,6,10,6,7,6,41
665,6,6,10,6,7,6,41
666,6,6,10,6,7,6,41
667,6,6,10,6,7,6,41
668,6,6,10,6,7,6,41
669,6,6,10,6,7,6,41
670,6,6,10,7,7,6,42
